name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand,log_target,gaming_label
LG UltraGear 27GN60R,822.0,1673.0,27719.449999999997,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,144.0,1000,300.0,IPS,1.0,2.0736,Large,FullHD,1,0,LG,10.229925686938307,Gaming
MSI Optix G322CQP,1300.0,1300.0,28886.0,31.5,2560.0,1440.0,1.7777777777777777,93.24474793999148,170.0,2500,250.0,VA,4.442516268980477,3.6864,Large,QHD,1,0,MSI,10.271146945908393,Gaming
Asus ProArt PA328CGV,2559.0,3428.0,66515.56999999999,32.0,2560.0,1440.0,1.7777777777777777,91.7877987534291,165.0,1000,600.0,IPS,5.0,3.6864,XLarge,QHD,1,0,Asus,11.105206368537857,Gaming
Acer SH322QKbmiiphx,1349.0,1349.0,29974.78,31.5,3840.0,2160.0,1.7777777777777777,139.8671219099872,60.0,3000,250.0,VA,4.0,8.2944,Large,4K,0,0,Acer,10.308145001241893,Non-Gaming
Asus VZ22EHE,698.0,698.0,15509.56,21.45,1920.0,1080.0,1.7777777777777777,102.69963496887172,75.0,1000,250.0,IPS,4.951367781155016,2.0736,Small,FullHD,0,0,Asus,9.649276361257021,Non-Gaming
Acer Vero B247YGbmiprzx,495.0,721.0,13509.759999999998,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,75.0,1000,250.0,IPS,4.0,2.0736,Small,FullHD,0,0,Acer,9.511241683998215,Non-Gaming
HP 727pk,2378.0,2930.0,58971.88,27.0,3840.0,2160.0,1.7777777777777777,163.1783088949851,60.0,2000,400.0,IPS,5.0,8.2944,Large,4K,0,0,HP,10.984832956194397,Non-Gaming
MSI MAG 321UPX QD-OLED,3762.0,4412.0,90813.14,31.5,3840.0,2160.0,1.7777777777777777,139.8671219099872,240.0,1500000,250.0,OLED,1.0,8.2944,Large,4K,1,1,MSI,11.41657027933746,Gaming
Iiyama ProLite LH3241S-B2,1344.0,1653.0,33296.67,31.5,1920.0,1080.0,1.7777777777777777,69.9335609549936,60.0,1200,350.0,IPS,8.0,2.0736,Large,FullHD,0,0,Iiyama,10.413242703550553,Non-Gaming
UPERFECT UGame J5,1268.0,1600.0,31863.48,17.3,3840.0,2160.0,1.7777777777777777,254.67134914246225,60.0,1500,500.0,IPS,25.0,8.2944,Small,4K,0,0,UPERFECT,10.369247188770112,Non-Gaming
AOC 27B2AM,523.0,791.0,14598.54,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,4000,250.0,VA,4.0,2.0736,Large,FullHD,0,0,AOC,9.588745300350762,Non-Gaming
Gigabyte M34WQ,2120.0,2120.0,47106.399999999994,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,144.0,1000,400.0,IPS,4.0,4.9536,XLarge,QHD,1,0,Gigabyte,10.760185380190167,Gaming
Iiyama ProLite XCB3497WQSNPH-B1,1519.0,1890.0,37873.99,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,120.0,3000,350.0,VA,4.442516268980477,4.9536,XLarge,QHD,1,0,Iiyama,10.542046278785232,Gaming
Gigabyte Aorus MO34WQC2,3479.0,4117.0,84391.56,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,240.0,1500000,250.0,OLED,1.0,4.9536,XLarge,QHD,1,0,Gigabyte,11.343234525039694,Gaming
